Source,Target,Type,ID,Weight
CHN,SLV,Directed,3430,129424946
CZE,HUN,Directed,2838,121002269
ESP,MYS,Directed,11381,117659288
ZAF,USA,Directed,13444,128109905
MEX,GBR,Directed,13034,74673675
SAU,OMN,Directed,10255,64278547
KOR,ARE,Directed,9629,119310170
NLD,ROU,Directed,9806,122125222
SGP,BEL,Directed,10558,123038516
ARE,NGA,Directed,12803,89268264
UZB,TUR,Directed,12658,125334300
ITA,RUS,Directed,9939,116396016
USA,MMR,Directed,7778,122149179
IND,IDN,Directed,5412,125612882
QAT,THA,Directed,9391,96035044
DEU,ZAF,Directed,11099,103238209
SWE,CHN,Directed,2219,122901162
ESP,USA,Directed,11482,122229526
JPN,MEX,Directed,7552,98203525
CHN,SGP,Directed,2198,115872701
CHN,TZA,Directed,2245,62211870
IDN,JPN,Directed,6177,124119361
TKM,RUS,Directed,10023,62061436
RUS,POL,Directed,9004,123152049
KOR,SAU,Directed,9589,119018082
IND,PAK,Directed,8503,122500130
CHN,COL,Directed,2282,121872847
HUN,SVK,Directed,4963,122044604
BEL,IRL,Directed,847,117658441
DEU,EGY,Directed,3295,107926057
HUN,CZE,Directed,4877,119472166
PHL,IDN,Directed,8785,116916245
SAU,UKR,Directed,10307,60246825
UKR,RUS,Directed,10026,59879546
RUS,TUR,Directed,12600,110397156
ESP,DZA,Directed,11237,59712169
BRA,URY,Directed,1335,118180280
EGY,DZA,Directed,3239,59223744
USA,KEN,Directed,13348,113107354
FRA,DZA,Directed,3819,58869618
CZE,AUT,Directed,2778,117264377
KOR,ISR,Directed,9510,112077692
SWE,DNK,Directed,11588,112214222
IDN,AUS,Directed,5344,99046435
KOR,FRA,Directed,3999,111952827
AUT,HUN,Directed,4853,97848387
EGY,ESP,Directed,11308,114852284
DEU,SRB,Directed,10434,108582314
ZAF,ZMB,Directed,13782,108280803
IDN,THA,Directed,5496,110418174
ESP,GRC,Directed,4646,112500917
KOR,CHL,Directed,9443,109788600
JPN,BEL,Directed,6121,106340908
IRN,AZE,Directed,557,56111913
ESP,BRA,Directed,11267,106973606
JPN,DEU,Directed,4282,100189992
AUT,CZE,Directed,2779,88579171
QAT,TUR,Directed,12593,107952697
BEL,SVK,Directed,941,110529133
ARE,AFG,Directed,12665,54910555
BEL,ISR,Directed,849,108059501
SWE,BEL,Directed,957,108923681
LTU,GBR,Directed,13019,107816315
TUR,BGR,Directed,1489,106597642
GRC,ROU,Directed,4629,106712694
ITA,HUN,Directed,5918,108848162
POL,BEL,Directed,915,106019409
SGP,NZL,Directed,10676,100015515
ARE,SYC,Directed,12831,54442238
ISR,USA,Directed,5819,105562460
DEU,GRC,Directed,4560,91455235
KWT,IND,Directed,5195,83159831
SVK,ITA,Directed,10808,105388344
CHN,ETH,Directed,2056,53334831
DEU,ARE,Directed,12740,85202927
GBR,USA,Directed,13480,101324038
CHN,ESP,Directed,11281,103668948
ESP,ISR,Directed,11355,99623044
KOR,CAN,Directed,1798,104475489
USA,HND,Directed,13324,103164273
FRA,RUS,Directed,9917,96539590
EGY,CHN,Directed,2049,101440597
POL,SVK,Directed,9017,101236225
ARE,JOR,Directed,12765,81049968
ARE,PER,Directed,12812,65936903
BEL,ZAF,Directed,11053,102043928
TUR,CHN,Directed,2234,73091532
RUS,UZB,Directed,10033,100561490
MYS,MMR,Directed,7249,86865998
ESP,EGY,Directed,3380,60720320
SAU,PER,Directed,8720,92271424
BRA,BOL,Directed,1160,50453307
FRA,SWE,Directed,4040,100249829
KOR,COL,Directed,9447,99461529
AUT,BEL,Directed,748,93874135
LTU,UKR,Directed,6907,50229236
BGR,TUR,Directed,1488,100092751
MEX,GTM,Directed,4720,99187815
HUN,TUR,Directed,4981,97805672
JPN,NLD,Directed,6210,92362480
SAU,PHL,Directed,8823,89957948
ZAF,ZWE,Directed,13824,95902003
THA,PAK,Directed,12184,96520369
QAT,ESP,Directed,11426,98302916
QAT,BGD,Directed,9268,49228199
ARE,LKA,Directed,12844,49180401
FRA,IND,Directed,5148,96899166
MEX,NLD,Directed,7557,79359022
COL,USA,Directed,13267,97466555
CHN,ISR,Directed,5704,97707307
KOR,SGP,Directed,10698,96994728
QAT,DEU,Directed,9302,62525318
PRT,FRA,Directed,9125,88239545
DEU,NOR,Directed,8373,83545222
LTU,DEU,Directed,4297,87488322
SAU,PRT,Directed,9218,96117162
SWE,GBR,Directed,11725,91438156
AUS,CHN,Directed,1981,68001546
KOR,GRC,Directed,9486,93071420
DEU,BGR,Directed,1413,82990470
SAU,USA,Directed,13431,93656922
SAU,LKA,Directed,10287,47733452
QAT,VNM,Directed,13655,94554750
FIN,POL,Directed,8913,94202693
KOR,UZB,Directed,13531,91398781
MEX,DOM,Directed,7530,47278581
USA,FIN,Directed,13299,89394782
BRA,ESP,Directed,11268,88204169
EGY,MAR,Directed,3339,93150213
MEX,BRA,Directed,7514,90947358
ARE,FRA,Directed,12734,50706216
TUR,IRQ,Directed,12514,46411560
ROU,BGR,Directed,9729,92353444
KOR,PER,Directed,8714,89715246
SWE,ITA,Directed,6032,92077782
USA,UKR,Directed,13475,46223897
ARE,IDN,Directed,5505,74287817
IND,IRN,Directed,5176,46026264
FRA,BRA,Directed,1205,65536728
USA,TUN,Directed,12411,90053338
IND,NGA,Directed,5237,89789932
